"barcode";"product_name";"rank";"current_price";"buybox_price";"second_price";"third_price";"min_price";"learned_price_cut";"learned_max_increase";"old_action";"old_proposed";"old_blockers";"old_reason";"new_action";"new_proposed";"new_blockers";"new_reason";"classification";"changed_rule"
"8695135745631";"Kabuklu Kavrulmuş Siirt Fıstığı Yerli Kaliteli Çitlek Kuruyemiş Büyük Boy Stok 4 Adet x 400 gr";"1";"2155.00";"2155.00";"2155.00";"2299.08";"193.25";"";"";"KORU";"2155";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""COST_INCOMPLETE"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Fiyat korunuyor";"KORU";"2155";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""COST_INCOMPLETE"",""BUYBOX_STALE""]";"Fiyat korunuyor";"BUYBOX_OWNED";"cts_removed_keep"
"TYBXOB5BDW96DB0084";"Şeker Ilavesiz Çikolata 100 Gr - 2 ADET";"1";"426.40";"426.40";"437.00";"529.90";"363.73";"";"";"FIYAT_ARTIR";"430.15";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"430.15";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8680108527954";"Bütün Bademli Sütlü Tablet Çikolata 5 Adet x 130g";"1";"1761.19";"1761.19";"1762.19";"1754.27";"909.65";"";"";"FIYAT_ARTIR";"1762.09";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"1762.09";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8680205826354";"Tam Fındıklı Sütlü Çikolata 10 Adet x 30g (%35 Fındık İçerikli)";"1";"998.90";"998.90";"999.90";"999.80";"753.82";"";"";"FIYAT_ARTIR";"999.8";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"999.8";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8681080245754";"Klasik Sütlü Tablet Çikolata 10 Adet x 80g";"1";"1144.21";"1144.21";"1145.21";"1151.51";"862.15";"";"";"FIYAT_ARTIR";"1145.11";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"1145.11";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8683335117954";"Bütün Bademli Sütlü Tablet Çikolata 10 Adet x 65g";"1";"1601.40";"1601.40";"1604.62";"1747.12";"999.06";"";"";"FIYAT_ARTIR";"1604.52";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"1604.52";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8683852746194";"Antep Fıstığı Kadayıflı Dubai Çikolata 4 Adet x 200gr";"1";"1551.32";"1551.32";"1552.32";"1547.49";"1411.70";"";"";"FIYAT_ARTIR";"1552.22";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"1552.22";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8685147692554";"Bütün Fındıklı Sütlü Tablet Çikolata 5 Adet x 130g";"1";"1052.01";"1052.01";"1053.01";"1059.63";"879.89";"";"";"FIYAT_ARTIR";"1052.91";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"1052.91";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8687020508040";"Bütün Antep Fıstıklı Sütlü Tablet Çikolata 5 Adet x 130g";"1";"1408.51";"1408.51";"1409.51";"1405.15";"1153.70";"";"";"FIYAT_ARTIR";"1409.41";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"1409.41";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
"8693571456827";"Dubai Çikolatası Kadayıf & Antep Fıstıklı Dolgulu 10 Adet X 90g";"1";"2052.43";"2052.43";"2053.43";"2042.04";"1719.30";"";"";"FIYAT_ARTIR";"2053.33";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE"",""CHANGE_TOO_SMALL""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"FIYAT_ARTIR";"2053.33";"[""PRODUCT_INACTIVE"",""PRODUCT_NOT_ON_SALE"",""OUT_OF_STOCK"",""BUYBOX_STALE""]";"Buybox korunarak kontrollü kâr artışı yoklaması";"BUYBOX_OWNED";"cts_removed_profit_probe"
